"","PBNleg","dscrPhase","PBNdeviation","bank","angleBrM","angdifHCl","angdifSCl","discrSettingNextHdg","dscrTimeWPTCheckCurrLeg","dscrTimeWPTCheckNxtLeg","dscrTimeNavlogCheck","dscrTimeMapCheck","dscrTimeTrackCheck","dscrTimeMapClick","dscrPBNdeviationIntegrCorr"
"189",2,4,-0.44645323,6.08,-24.4,-24.4,10,0,0,0,3,4,0,0,1
"196",2,4,-0.53772118,16.65,-22,-22,10,0,0,0,3,3,0,0,1
"203",2,4,-0.61345167,27.46,-16.4,-16.4,20,0,0,0,3,3,0,0,2
"210",2,4,-0.6580203,30.63,-8.1,-8.1,20,0,0,0,3,3,0,0,2
"217",2,4,-0.66528128,22.83,-0.4,-0.4,20,0,0,0,2,3,0,0,2
"224",2,4,-0.64393778,16.43,4.60000000000002,4.60000000000002,20,0,0,0,4,3,0,0,2
"231",2,4,-0.60392377,12.86,8.19999999999999,8.19999999999999,20,0,3,0,3,2,0,0,2
"238",2,2,-0.55134088,9.76,11,11,20,0,3,0,3,2,0,0,2
"245",2,2,-0.48551907,7.34,13.2,13.2,20,0,4,0,3,2,0,0,2
"252",2,2,-0.41387066,5.6,14.8,14.8,20,0,3,0,3,4,0,4,2
"259",2,2,-0.3341303,3.78,16.1,16.1,0,0,3,0,2,3,0,3,2
"266",2,2,-0.25139425,-5.36,16.3,16.3,0,0,3,0,2,3,0,3,0
"273",2,2,-0.17458797,-15.07,14.1,14.1,0,0,3,0,2,3,0,3,0
"280",2,2,-0.11313568,-12.83,10.3,10.3,0,0,3,0,2,3,0,3,0
"287",2,2,-0.06594176,-7.86,7.69999999999999,7.69999999999999,0,0,2,0,3,2,0,3,0
"294",2,2,-0.02840131,-6.53,5.89999999999998,5.89999999999998,0,0,2,0,3,2,0,2,0
"301",2,2,0.002758,-4.88,4.5,4.5,0,0,2,0,3,2,0,2,0
"308",2,3,0.02849628,-3.71,3.39999999999998,3.39999999999998,0,0,2,0,3,2,0,2,0
"315",2,3,0.05022526,-2.83,2.60000000000002,2.60000000000002,0,0,2,0,3,2,0,2,0
"322",2,3,0.06827096,-2.17,2,2,0,0,2,0,2,2,0,2,0
"329",2,3,0.08444236,-1.65,1.5,1.5,0,0,2,0,2,2,0,2,0
"336",2,3,0.09879146,-1.26,1.19999999999999,1.19999999999999,0,0,2,0,2,2,0,2,0
"343",2,3,0.11177327,0.32,0.899999999999977,0.899999999999977,102,1,2,0,2,2,0,2,0
